queueLen,fracBlock1,fracBlock2,fracBlock4
0,2.2045855379188714e-05,4.422919569207634e-05,6.737182510274203e-05
1,0.6467813051146385,0.6664897498838983,0.6636573918120775
2,0.26900352733686067,0.2605984210177138,0.26263783152552267
3,0.06047178130511464,0.04661757225944846,0.04920388960003593
4,0.007760141093474427,0.014440832393462924,0.011543039367603135
5,0.005511463844797178,0.006678608549503528,0.004850771407397427
6,0.007054673721340388,0.002609522545832504,0.0037503649307193067
7,0.002535273368606702,0.0009288131095336031,0.0027847021042466708
8,0.0003527336860670194,0.000530750348304916,0.0007186328010959151
9,0.0001984126984126984,8.845839138415268e-05,0.0003144018504794628
10,8.818342151675486e-05,4.422919569207634e-05,0.00013474365020548407
11,6.613756613756614e-05,0.00017691678276830536,4.491455006849469e-05
12,,0.0003538335655366107,8.982910013698938e-05
13,,0.0001548021849222672,2.2457275034247345e-05
14,,2.211459784603817e-05,6.737182510274203e-05
15,2.2045855379188714e-05,6.63437935381145e-05,8.982910013698938e-05
16,4.409171075837743e-05,,2.2457275034247345e-05
17,2.2045855379188714e-05,2.211459784603817e-05,
18,2.2045855379188714e-05,4.422919569207634e-05,
19,4.409171075837743e-05,6.63437935381145e-05,
