queueLen,fracBlock12,fracBlock120,fracBlock240
0,0.00942918199643101,0.00045569504887329397,0.00029655362324980405
1,0.9823092683571634,0.8467953245687986,0.6593446164926179
2,0.00795311845960653,0.12802752398095193,0.27132538287191
3,0.0001542155933995726,0.01998222789309394,0.04901607744286047
4,6.60923971712454e-05,0.004078470687415982,0.004088203520515156
5,2.20307990570818e-05,0.0003645560390986352,0.0008896608697494122
6,2.20307990570818e-05,0.0001594932671056529,0.0009532080747315131
7,2.20307990570818e-05,9.11390097746588e-05,0.0010803024846957148
8,0,2.27847524436647e-05,0.0010167552797136139
9,0,0,0.005528606833442776
10,0,2.27847524436647e-05,0.003939926708890254
11,0,0,0.002478340994301934
12,0,0,2.118240166070029e-05
13,0,0,2.118240166070029e-05
