-----------------------------------
Adversarial Strategy: reset
Global Inter arrival: 10.0
K:25	 maximum K+N: unbounded
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
Iteration,NumBlocks,NumLateBlocks,fracLateBlocks,SimTime
0,50000000,31489,0.00062978,392.276285
1,50000001,31974,0.0006394799872104002,390.901429
2,50000001,32170,0.0006433999871320003,395.31186300000013
3,50000000,31672,0.00063344,404.85416199999986
4,50000000,31274,0.00062548,393.850784
5,50000000,31269,0.00062538,396.12366699999984
6,50000000,31468,0.00062936,395.9714650000001
7,50000000,32538,0.00065076,395.6699779999999
8,50000000,32300,0.000646,396.03868999999986
9,50000000,31800,0.000636,396.48751200000015
10,50000000,31510,0.0006302,392.2783479999998
11,50000000,31126,0.00062252,391.60589400000026
12,50000000,30865,0.0006173,398.76812599999994
13,50000000,32062,0.00064124,392.25725500000044
14,50000000,31501,0.00063002,392.05385300000034
15,50000000,31375,0.0006275,391.59727399999974
16,50000000,30606,0.00061212,392.731941
17,50000000,30373,0.00060746,392.695076
18,50000000,31696,0.00063392,392.55846400000064
19,50000000,32414,0.00064828,392.31973500000004
20,50000000,32952,0.00065904,399.20482899999934
21,50000000,32075,0.0006415,413.8699919999999
22,50000000,31897,0.00063794,399.4275039999993
23,50000000,32454,0.00064908,391.00114100000064
24,50000000,32413,0.00064826,404.0179930000013
25,50000000,31636,0.00063272,397.33902300000045
26,50000000,31794,0.00063588,395.51883200000157
27,50000000,31368,0.00062736,404.48441699999967
