-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,15,7.5,17476404,1000000,39710,0.03971,76.91341899999999
1,15,15,7.5,17479494,1000000,39661,0.039661,76.765254
2,15,15,7.5,17478903,1000000,39794,0.039794,76.70947799999999
3,15,15,7.5,17473469,1000000,39937,0.039937,76.69371899999999
4,15,15,7.5,17480109,1000000,39662,0.039662,76.75491000000005
5,15,15,7.5,17473305,1000000,39828,0.039828,76.63839899999999
6,15,15,7.5,17477775,1000000,40027,0.040027,76.66368899999998
7,15,15,7.5,17478496,1000000,39921,0.039921,76.61676999999997
8,15,15,7.5,17476982,1000000,39832,0.039832,76.56202100000007
9,15,15,7.5,17487226,1000000,39872,0.039872,76.73131999999998
10,15,15,7.5,17482529,1000000,39900,0.0399,76.61849300000006
11,15,15,7.5,17477890,1000000,40100,0.0401,76.64267400000006
12,15,15,7.5,17481822,1000000,39913,0.039913,76.68981700000006
13,15,15,7.5,17477890,1000000,39978,0.039978,76.66633300000001
14,15,15,7.5,17486177,1000000,39354,0.039354,76.6809189999999
15,15,15,7.5,17474525,1000000,39401,0.039401,76.66649299999995
16,15,15,7.5,17483230,1000000,39735,0.039735,76.63125000000014
17,15,15,7.5,17480979,1000000,40232,0.040232,76.70935199999985
18,15,15,7.5,17480542,1000000,39978,0.039978,76.65572699999984
19,15,15,7.5,17480576,1000000,39373,0.039373,76.7002500000001
20,15,15,7.5,17479020,1000000,39991,0.039991,76.69768399999998
21,15,15,7.5,17481313,1000000,39891,0.039891,76.75028899999984
22,15,15,7.5,17479821,1000000,39640,0.03964,76.64265
23,15,15,7.5,17479218,1000000,39748,0.039748,76.70578100000012
24,15,15,7.5,17477975,1000000,39978,0.039978,76.55833200000006
25,15,15,7.5,17479423,1000000,39888,0.039888,76.7471660000001
26,15,15,7.5,17478398,1000000,39324,0.039324,76.72901199999978
27,15,15,7.5,17484155,1000000,39853,0.039853,77.12567799999988
28,15,15,7.5,17479570,1000000,40035,0.040035,77.45544600000039
29,15,15,7.5,17476771,1000000,39926,0.039926,77.59907000000021
30,15,15,7.5,17483025,1000000,39686,0.039686,77.16377299999976
31,15,15,7.5,17479349,1000000,39609,0.039609,77.15009299999974
32,15,15,7.5,17480468,1000000,39458,0.039458,78.09287700000004
33,15,15,7.5,17479727,1000000,39700,0.0397,77.76899800000001
34,15,15,7.5,17474464,1000000,40109,0.040109,77.69030599999996
35,15,15,7.5,17472221,1000000,39754,0.039754,77.43769800000018
36,15,15,7.5,17474378,1000000,39899,0.039899,79.35890899999958
37,15,15,7.5,17477149,1000000,39873,0.039873,79.73182499999984
38,15,15,7.5,17476418,1000000,39984,0.039984,78.58647799999972
39,15,15,7.5,17487246,1000000,39881,0.039881,79.827225
40,15,15,7.5,17480761,1000000,39808,0.039808,79.28695700000026
41,15,15,7.5,17480891,1000000,39793,0.039793,79.21978399999989
42,15,15,7.5,17477995,1000000,39691,0.039691,78.75286499999993
43,15,15,7.5,17486607,1000000,39538,0.039538,79.46290899999985
44,15,15,7.5,17479465,1000000,39789,0.039789,79.02150200000005
45,15,15,7.5,17474807,1000000,40110,0.04011,78.18723499999987
46,15,15,7.5,17477343,1000000,39708,0.039708,77.77481200000011
47,15,15,7.5,17474616,1000000,39863,0.039863,77.78497500000003
48,15,15,7.5,17478207,1000000,39763,0.039763,78.1440950000001
49,15,15,7.5,17477166,1000000,39573,0.039573,77.66594299999997
50,15,15,7.5,17480499,1000000,39836,0.039836,78.01195099999995
51,15,15,7.5,17478010,1000000,39700,0.0397,78.13540000000012
52,15,15,7.5,17476998,1000000,39452,0.039452,77.7816259999995
