-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,45,64,129905643,1000000,778,0.000778,605.1875660000005
1,15,45,64,129903657,1000000,836,0.000836,604.5651239999997
2,15,45,64,129903670,1000000,840,0.00084,601.2268730000005
3,15,45,64,129888399,1000000,755,0.000755,602.5558020000008
4,15,45,64,129914266,1000000,724,0.000724,604.0203000000001
5,15,45,64,129929819,1000000,803,0.000803,602.4278350000004
6,15,45,64,129912483,1000000,722,0.000722,602.8809550000005
7,15,45,64,129918696,1000000,776,0.000776,600.1852520000011
8,15,45,64,129889893,1000000,792,0.000792,598.927635
9,15,45,64,129886010,1000000,792,0.000792,593.3454839999995
-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,45,64,129905643,1000000,778,0.000778,540.0227319999831
1,15,45,64,129903657,1000000,836,0.000836,539.397855999996
2,15,45,64,129903670,1000000,840,0.00084,540.7638169999991
3,15,45,64,129888399,1000000,755,0.000755,540.6822519999987
4,15,45,64,129914266,1000000,724,0.000724,540.2065120000043
5,15,45,64,129929819,1000000,803,0.000803,541.2703660000116
6,15,45,64,129912483,1000000,722,0.000722,540.5097259999893
7,15,45,64,129918696,1000000,776,0.000776,540.8082590000122
8,15,45,64,129889893,1000000,792,0.000792,540.5632920000062
9,15,45,64,129886010,1000000,792,0.000792,540.4665139999997
10,15,45,64,129918315,1000000,745,0.000745,539.8144809999794
11,15,45,64,129911858,1000000,771,0.000771,544.0415249999787
12,15,45,64,129935886,1000000,787,0.000787,548.04402999999
13,15,45,64,129896407,1000000,780,0.00078,578.933847999986
14,15,45,64,129896494,1000000,799,0.000799,608.0184819999849
15,15,45,64,129928366,1000000,828,0.000828,613.1362150000059
16,15,45,64,129924486,1000000,774,0.000774,613.723021999991
17,15,45,64,129904957,1000000,790,0.00079,609.1255140000139
18,15,45,64,129923135,1000000,812,0.000812,604.6940279999981
19,15,45,64,129908904,1000000,795,0.000795,607.5767380000034
20,15,45,64,129920076,1000000,746,0.000746,605.2052210000111
21,15,45,64,129902030,1000000,783,0.000783,614.4775819999923
22,15,45,64,129922180,1000000,717,0.000717,611.6774070000101
23,15,45,64,129883779,1000000,768,0.000768,619.4288240000024
24,15,45,64,129897859,1000000,810,0.00081,613.1100140000053
25,15,45,64,129896921,1000000,801,0.000801,605.7555490000232
26,15,45,64,129892918,1000000,741,0.000741,608.5143199999875
27,15,45,64,129926147,1000000,747,0.000747,599.5694400000211
28,15,45,64,129949005,1000000,836,0.000836,606.8953130000154
29,15,45,64,129899514,1000000,728,0.000728,595.9741900000081
30,15,45,64,129890868,1000000,737,0.000737,605.3329680000024
31,15,45,64,129890029,1000000,752,0.000752,620.9511359999888
32,15,45,64,129908131,1000000,777,0.000777,621.2106050000002
33,15,45,64,129890732,1000000,789,0.000789,615.532527000003
34,15,45,64,129890080,1000000,762,0.000762,606.456227000017
35,15,45,64,129895114,1000000,765,0.000765,606.4364320000168
36,15,45,64,129916164,1000000,806,0.000806,590.5610650000162
37,15,45,64,129937169,1000000,794,0.000794,596.9563210000051
38,15,45,64,129913692,1000000,784,0.000784,606.3138779999863
39,15,45,64,129921846,1000000,791,0.000791,601.1425189999864
40,15,45,64,129911803,1000000,735,0.000735,592.9293619999953
