-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,55,65,64,129997599,1000000,60,6e-05,819.400594
1,55,65,64,129975218,1000000,65,6.5e-05,816.5179119999999
2,55,65,64,129999198,1000000,62,6.2e-05,817.6511839999998
3,55,65,64,129961215,1000000,66,6.6e-05,816.8776090000001
4,55,65,64,129993210,1000000,69,6.9e-05,850.447897
5,55,65,64,130012232,1000000,59,5.9e-05,848.232121
6,55,65,64,130002033,1000000,73,7.3e-05,847.0462729999999
7,55,65,64,129982493,1000000,60,6e-05,848.0949639999999
8,55,65,64,129970508,1000000,70,7e-05,848.8205940000003
9,55,65,64,129984095,1000000,50,5e-05,844.2996169999997
