-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,45,65,64,129996828,1000000,59,5.9e-05,853.5056849999964
1,45,65,64,129974516,1000000,65,6.5e-05,855.0990299999976
2,45,65,64,129997343,1000000,62,6.2e-05,851.6546679999883
3,45,65,64,129960175,1000000,66,6.6e-05,852.305183000004
4,45,65,64,129993702,1000000,69,6.9e-05,856.0308589999913
5,45,65,64,130008784,1000000,61,6.1e-05,851.474000000002
6,45,65,64,130001406,1000000,72,7.2e-05,851.9001089999947
7,45,65,64,129984043,1000000,60,6e-05,849.5813520000083
8,45,65,64,129969990,1000000,70,7e-05,852.0109109999903
9,45,65,64,129984549,1000000,50,5e-05,850.5535370000143
