c,10-75,15-75,20-75
100,9.78601433005438e-06,2.015310184836e-08,4.160208272e-11
95,9.88116938099974e-06,2.0455241713e-08,4.244570454e-11
90,9.98792786981522e-06,2.079609095939e-08,4.340262632e-11
85,1.010854260887435e-05,2.118354107581e-08,4.449707938e-11
80,1.024588782736349e-05,2.162776858068e-08,4.576055283e-11
75,1.040368849348009e-05,2.214212034713e-08,4.723479052e-11
70,1.058685887481909e-05,2.274444196918e-08,4.897647457e-11
65,1.080201602050026e-05,2.345912847512e-08,5.106400814e-11
60,1.105828302094124e-05,2.43203988738e-08,5.360932749e-11
55,1.136859154452487e-05,2.537772930412e-08,5.677719475e-11
50,1.175188509035222e-05,2.67052911574e-08,6.082047239e-11
45,1.223703832113163e-05,2.841926455964e-08,6.614488195e-11
40,1.28702687214571e-05,3.071179588905e-08,7.344300558e-11
35,1.373025730406557e-05,3.392337503965e-08,8.398910359e-11
30,1.49621334567245e-05,3.871453439708e-08,1.0037520319e-10
25,1.686431308488879e-05,4.653582721388e-08,1.2865795464e-10
20,2.01539081752237e-05,6.120282586849e-08,1.8618953098e-10
15,2.703052476216682e-05,9.61109313245e-08,3.4227419446e-10
10,4.802788934211595e-05,2.3253963123863e-07,1.12729378001e-09
5,0.00024645062759988683,2.87025246975677e-06,3.344834994265e-08
